id,title,mode_id,created_at,message_count,total_input_tokens,total_output_tokens,llm_rounds
b63636cb-de6e-40f4-bcf3-82c84e524c35,New agent_builder session,agent_builder,2026-01-31 07:25:02.06763+00,2,101852,1184,6
1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,New agent_builder session,agent_builder,2026-01-31 05:45:33.7809+00,2,85232,1108,5
b2380c22-0320-4c54-b3c4-d258532f882e,New agent_builder session,agent_builder,2026-01-31 05:22:54.573198+00,10,1562490,32360,19
1cff300a-aca5-430e-bdfc-fa407726aeca,New agent_builder session,agent_builder,2026-01-31 04:02:16.30823+00,4,0,0,0
0c5eaa05-22fd-4679-b588-f2dba78edea2,New agent_builder session,agent_builder,2026-01-31 03:59:57.260859+00,1,0,0,0
5c428225-03b4-44e2-9e25-ee23eef5dcad,New agent_builder session,agent_builder,2026-01-31 03:59:48.421099+00,0,0,0,0
90e2ceac-1877-463d-aa16-00a887411f76,New agent_builder session,agent_builder,2026-01-31 03:49:21.472842+00,2,0,0,0
5f7bd278-2c95-4f70-b47f-9c5aa8ca0ffa,New agent_builder session,agent_builder,2026-01-31 03:34:57.478078+00,4,0,0,0
7195239f-e886-4712-ba2b-782bf4a822e7,New agent_builder session,agent_builder,2026-01-31 03:06:56.996679+00,5,0,0,0
53956fba-19a3-49df-8717-971d00c0c94d,New agent_builder session,agent_builder,2026-01-31 02:53:12.106479+00,6,0,0,0
93d53605-8cd4-4e51-a0ab-63546ec05ac8,New agent_builder session,agent_builder,2026-01-31 02:49:45.466681+00,0,0,0,0
4a9438ea-59ae-4ba8-8458-018eb16357c1,New agent_builder session,agent_builder,2026-01-31 02:47:19.830281+00,2,0,0,0
19173a7d-5eb5-4f51-9ffc-522e70319e5e,New planning session,planning,2026-01-31 02:31:45.904835+00,0,0,0,0
9e90137a-1787-48b6-83f5-6deb6dc17844,New agent_builder session,agent_builder,2026-01-31 02:31:39.296557+00,0,0,0,0
